ep,tag,avg_loss_data,avg_loss_reg,avg_loss_mono,avg_loss_tail,avg_loss_total
100,[Joint] Ep 11,0.03926361144650392,3.604067263968564e-07,0.0,0.07158617490115929,0.0428429203226466
101,[Joint] Ep 12,0.03947744565923606,3.652681500768865e-07,0.0,0.07052538057280427,0.043003714724175364
102,[Joint] Ep 13,0.0395416981380156,3.604283728572563e-07,0.0,0.07044472418849247,0.04306393442151078
103,[Joint] Ep 14,0.03949619345429882,3.6439461408659753e-07,0.0,0.07038968173282564,0.04301567758467082
104,[Joint] Ep 15,0.039353294498895436,3.7440550663796037e-07,0.0,0.07003268724682883,0.04285492889503403
105,[Joint] Ep 16,0.03920895006740466,3.6775974525131164e-07,0.0,0.06869715636969125,0.04264380793015867
106,[Joint] Ep 17,0.03922906003972129,3.671212466839803e-07,0.0,0.07178899203558234,0.042818509790047934
107,[Joint] Ep 18,0.03925725033240359,3.718076782831246e-07,0.0,0.07149626475890998,0.042832063538282436
108,[Joint] Ep 19,0.03960205061856221,3.59745673410732e-07,0.0,0.06885738327033683,0.04304491990793345
109,[Joint] Ep 20,0.03930807410558971,3.5702128676852274e-07,0.0,0.06983497729481052,0.042799823031223774
