Device: cpu
ESM dims = 1280
Dropped rows with missing ESM: 4382 -> 4382
Data ready: 3535 rows | 222 curves | 198 species

=== UDE core model -- UTPC + constrained residual | full training ===
  [Joint] Ep 05 | total 0.04290  (data 0.03942 | reg 0.00000 | mono 0.00000 | tail 0.06970)
  [Joint] Ep 06 | total 0.04295  (data 0.03954 | reg 0.00000 | mono 0.00000 | tail 0.06838)
  [Joint] Ep 07 | total 0.04295  (data 0.03950 | reg 0.00000 | mono 0.00000 | tail 0.06901)
  [Joint] Ep 08 | total 0.04267  (data 0.03925 | reg 0.00000 | mono 0.00000 | tail 0.06844)
  [Joint] Ep 09 | total 0.04291  (data 0.03939 | reg 0.00000 | mono 0.00000 | tail 0.07041)
  [Joint] Ep 10 | total 0.04287  (data 0.03932 | reg 0.00000 | mono 0.00000 | tail 0.07116)
  [Joint] Ep 11 | total 0.04284  (data 0.03926 | reg 0.00000 | mono 0.00000 | tail 0.07159)
  [Joint] Ep 12 | total 0.04300  (data 0.03948 | reg 0.00000 | mono 0.00000 | tail 0.07053)
  [Joint] Ep 13 | total 0.04306  (data 0.03954 | reg 0.00000 | mono 0.00000 | tail 0.07044)
  [Joint] Ep 14 | total 0.04302  (data 0.03950 | reg 0.00000 | mono 0.00000 | tail 0.07039)
  [Joint] Ep 15 | total 0.04285  (data 0.03935 | reg 0.00000 | mono 0.00000 | tail 0.07003)
  [Joint] Ep 16 | total 0.04264  (data 0.03921 | reg 0.00000 | mono 0.00000 | tail 0.06870)
  [Joint] Ep 17 | total 0.04282  (data 0.03923 | reg 0.00000 | mono 0.00000 | tail 0.07179)
  [Joint] Ep 18 | total 0.04283  (data 0.03926 | reg 0.00000 | mono 0.00000 | tail 0.07150)
  [Joint] Ep 19 | total 0.04304  (data 0.03960 | reg 0.00000 | mono 0.00000 | tail 0.06886)
  [Joint] Ep 20 | total 0.04280  (data 0.03931 | reg 0.00000 | mono 0.00000 | tail 0.06983)

Training complete, elapsed 1211.5s
Training log saved: D:\Microsoft VS Code\Chapter1\Github\Microbial-Growth-TPC-Predictor\Train\core_model_training_log.csv
Loss curve saved: D:\Microsoft VS Code\Chapter1\Github\Microbial-Growth-TPC-Predictor\Train\core_model_training_loss.png
Checkpoint saved: D:\Microsoft VS Code\Chapter1\Github\Microbial-Growth-TPC-Predictor\results\core_model_checkpoint.pt
Scaler saved: D:\Microsoft VS Code\Chapter1\Github\Microbial-Growth-TPC-Predictor\results\core_model_scaler.pkl

Done. Model files saved in: D:\Microsoft VS Code\Chapter1\Github\Microbial-Growth-TPC-Predictor\results
